datatime,acc_x,acc_y,acc_z
2021-11-08 23:26:05.968750-05:00,-18,-71,3
2021-11-08 23:26:06-05:00,-17,-67,1
2021-11-08 23:26:06.031250-05:00,-17,-64,1
2021-11-08 23:26:06.062500-05:00,-17,-55,3
2021-11-08 23:26:06.093750-05:00,-13,-50,4
2021-11-08 23:26:06.125000-05:00,-10,-48,4
2021-11-08 23:26:06.156250-05:00,-7,-45,3
2021-11-08 23:26:06.187500-05:00,-8,-43,4
2021-11-08 23:26:06.218750-05:00,-14,-41,5
2021-11-08 23:26:06.250000-05:00,-17,-40,7
2021-11-08 23:26:06.281250-05:00,-20,-40,9
2021-11-08 23:26:06.312500-05:00,-17,-43,9
2021-11-08 23:26:06.343750-05:00,-14,-46,9
2021-11-08 23:26:06.375000-05:00,-5,-53,8
2021-11-08 23:26:06.406250-05:00,-2,-61,8
2021-11-08 23:26:06.437500-05:00,6,-73,2
2021-11-08 23:26:06.468750-05:00,5,-76,-2
2021-11-08 23:26:06.500000-05:00,-9,-77,0
2021-11-08 23:26:06.531250-05:00,-25,-66,7
2021-11-08 23:26:06.562500-05:00,-30,-60,8
2021-11-08 23:26:06.593750-05:00,-31,-62,5
2021-11-08 23:26:06.625000-05:00,-26,-63,6
2021-11-08 23:26:06.656250-05:00,-19,-63,5
2021-11-08 23:26:06.687500-05:00,-15,-62,5
2021-11-08 23:26:06.718750-05:00,-7,-65,7
2021-11-08 23:26:06.750000-05:00,-6,-67,9
2021-11-08 23:26:06.781250-05:00,-9,-68,9
2021-11-08 23:26:06.812500-05:00,-13,-69,7
2021-11-08 23:26:06.843750-05:00,-15,-70,5
2021-11-08 23:26:06.875000-05:00,-16,-69,4
2021-11-08 23:26:06.906250-05:00,-15,-67,2
2021-11-08 23:26:06.937500-05:00,-16,-64,-1
2021-11-08 23:26:06.968750-05:00,-17,-64,-2
2021-11-08 23:26:07-05:00,-18,-64,-3
2021-11-08 23:26:07.031250-05:00,-19,-63,-2
2021-11-08 23:26:07.062500-05:00,-19,-63,-2
2021-11-08 23:26:07.093750-05:00,-18,-59,0
2021-11-08 23:26:07.125000-05:00,-18,-57,2
2021-11-08 23:26:07.156250-05:00,-17,-58,2
2021-11-08 23:26:07.187500-05:00,-15,-61,6
2021-11-08 23:26:07.218750-05:00,-13,-61,7
2021-11-08 23:26:07.250000-05:00,-8,-60,6
2021-11-08 23:26:07.281250-05:00,-4,-59,4
2021-11-08 23:26:07.312500-05:00,-3,-60,2
2021-11-08 23:26:07.343750-05:00,-8,-60,1
2021-11-08 23:26:07.375000-05:00,-15,-60,1
2021-11-08 23:26:07.406250-05:00,-23,-60,1
2021-11-08 23:26:07.437500-05:00,-25,-60,1
