datatime,acc_x,acc_y,acc_z,label,subject_id
2021-10-27 16:13:16.250000+00:00,-13,-4,69,downstairs,2
2021-10-27 16:13:16.281250+00:00,-23,-7,74,downstairs,2
2021-10-27 16:13:16.312500+00:00,-32,-1,73,downstairs,2
2021-10-27 16:13:16.343750+00:00,-31,2,69,downstairs,2
2021-10-27 16:13:16.375000+00:00,-27,-1,63,downstairs,2
2021-10-27 16:13:16.406250+00:00,-27,-2,62,downstairs,2
2021-10-27 16:13:16.437500+00:00,-25,0,63,downstairs,2
2021-10-27 16:13:16.468750+00:00,-22,1,60,downstairs,2
2021-10-27 16:13:16.500000+00:00,-14,4,53,downstairs,2
2021-10-27 16:13:16.531250+00:00,-12,3,48,downstairs,2
2021-10-27 16:13:16.562500+00:00,-14,2,48,downstairs,2
2021-10-27 16:13:16.593750+00:00,-13,-1,46,downstairs,2
2021-10-27 16:13:16.625000+00:00,-14,-3,47,downstairs,2
2021-10-27 16:13:16.656250+00:00,-15,-4,52,downstairs,2
2021-10-27 16:13:16.687500+00:00,-18,-2,56,downstairs,2
2021-10-27 16:13:16.718750+00:00,-16,0,61,downstairs,2
2021-10-27 16:13:16.750000+00:00,-16,1,65,downstairs,2
2021-10-27 16:13:16.781250+00:00,-18,4,67,downstairs,2
2021-10-27 16:13:16.812500+00:00,-20,6,73,downstairs,2
2021-10-27 16:13:16.843750+00:00,-19,7,75,downstairs,2
2021-10-27 16:13:16.875000+00:00,-25,10,83,downstairs,2
2021-10-27 16:13:16.906250+00:00,-25,17,81,downstairs,2
2021-10-27 16:13:16.937500+00:00,-20,16,71,downstairs,2
2021-10-27 16:13:16.968750+00:00,-16,11,59,downstairs,2
2021-10-27 16:13:17+00:00,-16,9,58,downstairs,2
2021-10-27 16:13:17.031250+00:00,-15,8,54,downstairs,2
2021-10-27 16:13:17.062500+00:00,-12,6,48,downstairs,2
2021-10-27 16:13:17.093750+00:00,-12,1,40,downstairs,2
2021-10-27 16:13:17.125000+00:00,-13,-1,41,downstairs,2
2021-10-27 16:13:17.156250+00:00,-13,-4,43,downstairs,2
2021-10-27 16:13:17.187500+00:00,-13,-6,44,downstairs,2
2021-10-27 16:13:17.218750+00:00,-13,-7,48,downstairs,2
2021-10-27 16:13:17.250000+00:00,-11,-9,55,downstairs,2
2021-10-27 16:13:17.281250+00:00,-13,-9,58,downstairs,2
2021-10-27 16:13:17.312500+00:00,-16,-8,62,downstairs,2
2021-10-27 16:13:17.343750+00:00,-19,-7,65,downstairs,2
2021-10-27 16:13:17.375000+00:00,-22,-4,71,downstairs,2
2021-10-27 16:13:17.406250+00:00,-22,-3,72,downstairs,2
2021-10-27 16:13:17.437500+00:00,-23,-7,71,downstairs,2
2021-10-27 16:13:17.468750+00:00,-32,-11,79,downstairs,2
2021-10-27 16:13:17.500000+00:00,-37,-9,80,downstairs,2
2021-10-27 16:13:17.531250+00:00,-37,-5,69,downstairs,2
2021-10-27 16:13:17.562500+00:00,-36,-6,66,downstairs,2
2021-10-27 16:13:17.593750+00:00,-33,-5,64,downstairs,2
2021-10-27 16:13:17.625000+00:00,-24,-1,54,downstairs,2
2021-10-27 16:13:17.656250+00:00,-19,0,49,downstairs,2
2021-10-27 16:13:17.687500+00:00,-14,0,43,downstairs,2
2021-10-27 16:13:17.718750+00:00,-13,0,43,downstairs,2
2021-10-27 16:13:17.750000+00:00,-12,-2,41,downstairs,2
2021-10-27 16:13:17.781250+00:00,-15,-4,42,downstairs,2
2021-10-27 16:13:17.812500+00:00,-16,-5,44,downstairs,2
2021-10-27 16:13:17.843750+00:00,-17,-6,51,downstairs,2
2021-10-27 16:13:17.875000+00:00,-17,-5,55,downstairs,2
2021-10-27 16:13:17.906250+00:00,-23,-6,64,downstairs,2
2021-10-27 16:13:17.937500+00:00,-26,-6,70,downstairs,2
2021-10-27 16:13:17.968750+00:00,-23,1,78,downstairs,2
2021-10-27 16:13:18+00:00,-26,4,80,downstairs,2
2021-10-27 16:13:18.031250+00:00,-24,6,83,downstairs,2
2021-10-27 16:13:18.062500+00:00,-19,11,82,downstairs,2
2021-10-27 16:13:18.093750+00:00,-16,9,75,downstairs,2
2021-10-27 16:13:18.125000+00:00,-14,5,65,downstairs,2
2021-10-27 16:13:18.156250+00:00,-16,5,66,downstairs,2
