datetime,acc_x,acc_y,acc_z,subject_id,round,type,label
2021-12-08 14:50:20.468750+00:00,2,21,59,3,1,InMotion,upstairs
2021-12-08 14:50:20.500000+00:00,4,23,59,3,1,InMotion,upstairs
2021-12-08 14:50:20.531250+00:00,6,23,60,3,1,InMotion,upstairs
2021-12-08 14:50:20.562500+00:00,4,25,61,3,1,InMotion,upstairs
2021-12-08 14:50:20.593750+00:00,3,27,61,3,1,InMotion,upstairs
2021-12-08 14:50:20.625000+00:00,2,27,61,3,1,InMotion,upstairs
2021-12-08 14:50:20.656250+00:00,2,26,61,3,1,InMotion,upstairs
2021-12-08 14:50:20.687500+00:00,3,27,70,3,1,InMotion,upstairs
2021-12-08 14:50:20.718750+00:00,2,30,66,3,1,InMotion,upstairs
2021-12-08 14:50:20.750000+00:00,2,29,68,3,1,InMotion,upstairs
2021-12-08 14:50:20.781250+00:00,-2,30,68,3,1,InMotion,upstairs
2021-12-08 14:50:20.812500+00:00,-3,23,60,3,1,InMotion,upstairs
2021-12-08 14:50:20.843750+00:00,-2,22,57,3,1,InMotion,upstairs
2021-12-08 14:50:20.875000+00:00,2,21,58,3,1,InMotion,upstairs
2021-12-08 14:50:20.906250+00:00,-1,22,59,3,1,InMotion,upstairs
2021-12-08 14:50:20.937500+00:00,-7,25,60,3,1,InMotion,upstairs
2021-12-08 14:50:20.968750+00:00,-11,31,61,3,1,InMotion,upstairs
2021-12-08 14:50:21+00:00,-18,17,53,3,1,InMotion,upstairs
2021-12-08 14:50:21.031250+00:00,-16,22,47,3,1,InMotion,upstairs
2021-12-08 14:50:21.062500+00:00,-7,12,49,3,1,InMotion,upstairs
2021-12-08 14:50:21.093750+00:00,-11,11,41,3,1,InMotion,upstairs
2021-12-08 14:50:21.125000+00:00,-10,12,38,3,1,InMotion,upstairs
2021-12-08 14:50:21.156250+00:00,-18,15,27,3,1,InMotion,upstairs
2021-12-08 14:50:21.187500+00:00,-24,19,25,3,1,InMotion,upstairs
2021-12-08 14:50:21.218750+00:00,-21,22,22,3,1,InMotion,upstairs
2021-12-08 14:50:21.250000+00:00,-8,21,10,3,1,InMotion,upstairs
2021-12-08 14:50:21.281250+00:00,-9,23,7,3,1,InMotion,upstairs
